0 | 011110100001100011100101101001110001100001011110 | 10000000000000000000000000000000000000000000000
1 | 001000011000001000001000001000001000001000011100 | 01000000000000000000000000000000000000000000000
2 | 011100100010000010000100001000010000111110000000 | 00100000000000000000000000000000000000000000000
3 | 111111000010000100000010000001100001011110000000 | 00010000000000000000000000000000000000000000000
4 | 000010000110001010010010100010111111000010000010 | 00001000000000000000000000000000000000000000000
5 | 111111100000100000111110000001000001100001011110 | 00000100000000000000000000000000000000000000000
6 | 000111001000010000100000111110100001100001011110 | 00000010000000000000000000000000000000000000000
7 | 111111000001000010000100001000010000010000010000 | 00000001000000000000000000000000000000000000000
8 | 011110100001100001011110100001100001011110000000 | 00000000100000000000000000000000000000000000000
9 | 011110100001100001011111000001000010000100011000 | 00000000010000000000000000000000000000000000000
A | 011110100001100001100001100001111111100001100001 | 00000000001000000000000000000000000000000000000
B | 011110100001100001111110100001100001100001111110 | 00000000000100000000000000000000000000000000000
C | 011110100000100000100000100000100000100000011110 | 00000000000010000000000000000000000000000000000
D | 111110100001100001100001100001100001100001111110 | 00000000000001000000000000000000000000000000000
E | 111111100000100000111110100000100000100000111111 | 00000000000000100000000000000000000000000000000
F | 111111100000100000111110100000100000100000100000 | 00000000000000010000000000000000000000000000000
G | 011111100000100000101110100001100001100001011110 | 00000000000000001000000000000000000000000000000
H | 100001100001100001111111100001100001100001100001 | 00000000000000000100000000000000000000000000000
I | 001110000100000100000100000100000100000100001110 | 00000000000000000010000000000000000000000000000
J | 001111000011000010000010000010000010010010001100 | 00000000000000000001000000000000000000000000000
K | 100001100010111100100010100001100001100001100001 | 00000000000000000000100000000000000000000000000
L | 100000100000100000100000100000100000100000111111 | 00000000000000000000010000000000000000000000000
M | 100010110110101010101010100010100010100010100010 | 00000000000000000000001000000000000000000000000
N | 100010100010110010101010100110100010100010100010 | 00000000000000000000000100000000000000000000000
O | 011110100001100001100001100001100001100001011110 | 00000000000000000000000010000000000000000000000
P | 111110100001100001100001111110100000100000100000 | 00000000000000000000000001000000000000000000000
Q | 011110100001100001100001100001100101111110000001 | 00000000000000000000000000100000000000000000000
R | 111110100001100001100001111110100100100010100001 | 00000000000000000000000000010000000000000000000
S | 011110100001100000011110000001000001100001011110 | 00000000000000000000000000001000000000000000000
T | 100001100001100001100001100001100001100001011110 | 00000000000000000000000000000100000000000000000
V | 100010100010100010010100010100010100001000001000 | 00000000000000000000000000000010000000000000000
W | 100010100010100010100010101010101010101010010100 | 00000000000000000000000000000001000000000000000
X | 000000000000100001010010001100001100010010100001 | 00000000000000000000000000000000100000000000000
Y | 100010100010100010010100010100001000001000001000 | 00000000000000000000000000000000010000000000000
Z | 111111000001000010000100001000010000100000111111 | 00000000000000000000000000000000001000000000000
